YEAR,MONTH,DAY,WEEKDAY,HOUR,TEAM1,TEAM2,SCORE1,SCORE2,STADIUM,LOCATION,WINNER
2020,06,2,1,18,키움,한화,15,3,대전,대전,키움
2020,06,2,1,18,삼성,LG,2,0,잠실,서울,삼성
2020,06,2,1,18,SK,NC,8,2,창원,창원,SK
2020,06,2,1,18,두산,KT,11,8,수원,수원,두산
2020,06,2,1,18,롯데,KIA,2,7,광주,광주,KIA
2020,05,31,6,14,NC,삼성,18,7,대구,대구,NC
2020,05,31,6,14,롯데,두산,8,3,잠실,서울,롯데
2020,05,31,6,14,LG,KIA,13,5,광주,광주,LG
2020,05,31,6,14,KT,키움,12,8,고척,서울,KT
2020,05,31,6,14,한화,SK,4,6,문학,인천,SK
2020,05,30,5,17,NC,삼성,1,9,대구,대구,삼성
2020,05,30,5,17,롯데,두산,4,5,잠실,서울,두산
2020,05,30,5,17,KT,키움,3,14,고척,서울,키움
2020,05,30,5,17,한화,SK,3,9,문학,인천,SK
2020,05,30,5,14,LG,KIA,6,10,광주,광주,KIA
2020,05,29,4,18,NC,삼성,4,5,대구,대구,삼성
2020,05,29,4,18,롯데,두산,2,4,잠실,서울,두산
2020,05,29,4,18,LG,KIA,6,2,광주,광주,LG
2020,05,29,4,18,KT,키움,1,5,고척,서울,키움
2020,05,29,4,18,한화,SK,6,8,문학,인천,SK
2020,05,28,3,18,키움,NC,6,9,창원,창원,NC
2020,05,28,3,18,삼성,롯데,3,1,사직,부산,삼성
2020,05,28,3,18,SK,두산,6,1,잠실,서울,SK
2020,05,28,3,18,LG,한화,3,0,대전,대전,LG
2020,05,28,3,18,KIA,KT,5,6,수원,수원,KT
2020,05,27,2,18,키움,NC,3,10,창원,창원,NC
2020,05,27,2,18,삼성,롯데,11,1,사직,부산,삼성
2020,05,27,2,18,SK,두산,2,4,잠실,서울,두산
2020,05,27,2,18,LG,한화,15,4,대전,대전,LG
2020,05,27,2,18,KIA,KT,0,5,수원,수원,KT
2020,05,26,1,18,키움,NC,2,7,창원,창원,NC
2020,05,26,1,18,삼성,롯데,0,1,사직,부산,롯데
2020,05,26,1,18,SK,두산,4,6,잠실,서울,두산
2020,05,26,1,18,LG,한화,3,0,대전,대전,LG
2020,05,26,1,18,KIA,KT,4,1,수원,수원,KIA
2020,05,24,6,14,키움,롯데,0,2,사직,부산,롯데
2020,05,24,6,14,두산,삼성,0,13,대구,대구,삼성
2020,05,24,6,14,KT,LG,7,9,잠실,서울,LG
2020,05,24,6,14,KIA,SK,3,4,문학,인천,SK
2020,05,24,6,14,한화,NC,5,10,창원,창원,NC
2020,05,23,5,17,키움,롯데,12,4,사직,부산,키움
2020,05,23,5,17,두산,삼성,10,6,대구,대구,두산
2020,05,23,5,17,KIA,SK,8,3,문학,인천,KIA
2020,05,23,5,17,한화,NC,0,3,창원,창원,NC
2020,05,23,5,14,KT,LG,6,2,잠실,서울,KT
2020,05,22,4,18,키움,롯데,7,9,사직,부산,롯데
2020,05,22,4,18,두산,삼성,12,7,대구,대구,두산
2020,05,22,4,18,KT,LG,5,6,잠실,서울,LG
2020,05,22,4,18,KIA,SK,2,1,문학,인천,KIA
2020,05,22,4,18,한화,NC,5,3,창원,창원,한화
2020,05,21,3,18,SK,키움,8,9,고척,서울,키움
2020,05,21,3,18,NC,두산,12,6,잠실,서울,NC
2020,05,21,3,18,롯데,KIA,1,6,광주,광주,KIA
2020,05,21,3,18,LG,삼성,2,0,대구,대구,LG
2020,05,21,3,18,한화,KT,9,4,수원,수원,한화
2020,05,20,2,18,SK,키움,5,3,고척,서울,SK
2020,05,20,2,18,NC,두산,1,2,잠실,서울,두산
2020,05,20,2,18,롯데,KIA,0,6,광주,광주,KIA
2020,05,20,2,18,LG,삼성,1,3,대구,대구,삼성
2020,05,20,2,18,한화,KT,1,8,수원,수원,KT
2020,05,19,1,18,SK,키움,6,11,고척,서울,키움
2020,05,19,1,18,NC,두산,5,4,잠실,서울,NC
2020,05,19,1,18,롯데,KIA,2,9,광주,광주,KIA
2020,05,19,1,18,LG,삼성,10,6,대구,대구,LG
2020,05,19,1,18,한화,KT,11,13,수원,수원,KT
2020,05,17,6,14,키움,LG,9,4,잠실,서울,키움
2020,05,17,6,14,삼성,KT,2,9,수원,수원,KT
2020,05,17,6,14,두산,KIA,6,4,광주,광주,두산
2020,05,17,6,14,NC,SK,11,5,문학,인천,NC
2020,05,17,6,14,롯데,한화,4,5,대전,대전,한화
2020,05,16,5,17,키움,LG,3,5,잠실,서울,LG
2020,05,16,5,17,삼성,KT,4,10,수원,수원,KT
2020,05,16,5,17,두산,KIA,4,13,광주,광주,KIA
2020,05,16,5,17,NC,SK,2,1,문학,인천,NC
2020,05,16,5,14,키움,LG,1,3,잠실,서울,LG
2020,05,16,5,14,롯데,한화,5,1,대전,대전,롯데
2020,05,15,4,18,삼성,KT,6,14,수원,수원,KT
2020,05,15,4,18,두산,KIA,13,4,광주,광주,두산
2020,05,15,4,18,NC,SK,6,2,문학,인천,NC
2020,05,15,4,18,롯데,한화,1,2,대전,대전,한화
2020,05,14,3,18,삼성,키움,8,5,고척,서울,삼성
2020,05,14,3,18,SK,LG,2,3,잠실,서울,LG
2020,05,14,3,18,두산,롯데,7,4,사직,부산,두산
2020,05,14,3,18,KT,NC,0,1,창원,창원,NC
2020,05,14,3,18,KIA,한화,1,4,대전,대전,한화
2020,05,13,2,18,삼성,키움,5,0,고척,서울,삼성
2020,05,13,2,18,SK,LG,2,14,잠실,서울,LG
2020,05,13,2,18,두산,롯데,9,10,사직,부산,롯데
2020,05,13,2,18,KT,NC,4,5,창원,창원,NC
2020,05,13,2,18,KIA,한화,4,3,대전,대전,KIA
2020,05,12,1,18,삼성,키움,2,3,고척,서울,키움
2020,05,12,1,18,SK,LG,5,9,잠실,서울,LG
2020,05,12,1,18,두산,롯데,11,6,사직,부산,두산
2020,05,12,1,18,KT,NC,6,7,창원,창원,NC
2020,05,12,1,18,KIA,한화,2,1,대전,대전,KIA
2020,05,10,6,14,SK,롯데,0,4,사직,부산,롯데
2020,05,10,6,14,LG,NC,10,8,창원,창원,LG
2020,05,10,6,14,KT,두산,12,13,잠실,서울,두산
2020,05,10,6,14,KIA,삼성,12,3,대구,대구,KIA
2020,05,10,6,14,한화,키움,3,6,고척,서울,키움
2020,05,9,5,17,KIA,삼성,2,14,대구,대구,삼성
2020,05,9,5,17,한화,키움,3,5,고척,서울,키움
2020,05,8,4,18,SK,롯데,8,9,사직,부산,롯데
2020,05,8,4,18,LG,NC,5,13,창원,창원,NC
2020,05,8,4,18,KT,두산,12,3,잠실,서울,KT
2020,05,8,4,18,KIA,삼성,0,5,대구,대구,삼성
2020,05,8,4,18,한화,키움,3,5,고척,서울,키움
2020,05,7,3,18,키움,KIA,5,8,광주,광주,KIA
2020,05,7,3,18,두산,LG,9,3,잠실,서울,두산
2020,05,7,3,18,NC,삼성,8,2,대구,대구,NC
2020,05,7,3,18,롯데,KT,7,3,수원,수원,롯데
2020,05,7,3,18,한화,SK,8,4,문학,인천,한화
2020,05,6,2,18,키움,KIA,3,2,광주,광주,키움
2020,05,6,2,18,두산,LG,5,2,잠실,서울,두산
2020,05,6,2,18,NC,삼성,4,3,대구,대구,NC
2020,05,6,2,18,롯데,KT,9,4,수원,수원,롯데
2020,05,6,2,18,한화,SK,2,5,문학,인천,SK
2020,05,5,1,14,키움,KIA,11,2,광주,광주,키움
2020,05,5,1,14,두산,LG,2,8,잠실,서울,LG
2020,05,5,1,14,NC,삼성,4,0,대구,대구,NC
2020,05,5,1,14,롯데,KT,7,2,수원,수원,롯데
2020,05,5,1,14,한화,SK,3,0,문학,인천,한화
2020,05,1,4,18,두산,LG,2,3,잠실,서울,LG
2020,05,1,4,14,키움,SK,5,3,문학,인천,키움
2020,05,1,4,14,삼성,롯데,7,8,사직,부산,롯데
2020,05,1,4,14,NC,KIA,0,4,광주,광주,KIA
2020,05,1,4,14,한화,KT,13,15,수원,수원,KT
