YEAR,MONTH,DAY,WEEKDAY,HOUR,TEAM1,TEAM2,SCORE,STADIUM,LOCATION,WINNER,TEMPERATURE,RAINFALL,WINDSPEED,HUMLDITY,COUNT
2019,9,29,6,14,두산,LG,3:0,잠실,서울,두산,27,0,3,31,1
2019,9,28,5,17,한화,두산,6:7,잠실,서울,두산,28,0,2,41,1
2019,9,26,3,18,두산,삼성,11:0,대구,대구,두산,23,0,3,65,1
2019,9,25,2,18,두산,롯데,7:0,사직,부산,두산,21,0,3,65,1
2019,9,21,5,17,KIA,두산,3:5,잠실,서울,두산,20,0,2,65,1
2019,9,20,4,18,KIA,두산,2:6,잠실,서울,두산,21,0,2,50,1
2019,9,19,3,18,두산,SK,7:3,문학,인천,두산,22,0,4,36,1
2019,9,19,3,15,두산,SK,6:4,문학,인천,두산,24,0,3,46,1
2019,9,13,4,14,KIA,두산,2:6,잠실,서울,두산,27,0,1,43,1
2019,9,12,3,17,KIA,두산,0:5,잠실,서울,두산,21,0,1,69,1
2019,9,1,6,14,삼성,두산,1:4,잠실,서울,두산,27,0,2,40,1
2018,9,30,6,14,LG,두산,1:7,잠실,서울,두산,21,0,4,32,1
2018,9,29,5,17,LG,두산,8:9,잠실,서울,두산,26,0,1,31,1
2018,9,26,2,14,키움,두산,8:9,잠실,서울,두산,24,0,1,33,1
2018,9,25,1,14,키움,두산,2:13,잠실,서울,두산,23,0,1,28,1
2018,9,22,5,17,두산,NC,13:10,마산,창원,두산,24,0,0,80,1
2018,9,21,4,18,두산,LG,10:3,잠실,서울,두산,20,0,0,77,1
2018,9,20,3,18,두산,LG,9:3,잠실,서울,두산,19,0,2,77,1
2018,9,16,6,14,NC,두산,1:5,잠실,서울,두산,23,0,2,72,1
2018,9,14,4,18,KT,두산,2:7,잠실,서울,두산,25,0,1,57,1
2018,9,13,3,18,KT,두산,3:10,잠실,서울,두산,26,0,1,56,1
2018,9,12,2,18,두산,롯데,13:9,사직,부산,두산,23,0,4,74,1
2018,9,11,1,18,두산,롯데,17:4,사직,부산,두산,21,0,3,64,1
2018,9,8,5,17,두산,SK,3:0,문학,인천,두산,25,0,3,50,1
2018,9,7,4,18,두산,삼성,7:2,대구,대구,두산,24,0,1,49,1
2018,9,6,3,18,두산,삼성,6:2,대구,대구,두산,24,0,1,53,1
2018,9,5,2,18,KIA,두산,1:14,잠실,서울,두산,27,0,2,45,1
2017,9,29,4,18,두산,LG,5:3,잠실,서울,두산,19,0,4,30,1
2017,9,24,6,14,KT,두산,4:6,잠실,서울,두산,27,0,3,56,1
2017,9,22,4,18,두산,KIA,6:0,광주,광주,두산,25,0,0,60,1
2017,9,20,2,18,두산,NC,3:2,마산,창원,두산,22,0,1,62,1
2017,9,19,1,18,두산,롯데,8:3,사직,부산,두산,24,0,5,72,1
2017,9,17,6,14,두산,삼성,21:8,대구,대구,두산,25,0,3,63,1
2017,9,16,5,17,두산,삼성,9:5,대구,대구,두산,22,0,3,68,1
2017,9,13,2,18,두산,NC,13:3,마산,창원,두산,24,0,2,54,1
2017,9,12,1,18,두산,NC,14:13,마산,창원,두산,26,0,1,75,1
2017,9,10,6,14,두산,LG,5:1,잠실,서울,두산,25,0,1,65,1
2017,9,8,4,18,KT,두산,2:3,잠실,서울,두산,27,0,3,49,1
2017,9,6,2,18,두산,한화,13:9,대전,대전,두산,21,0,0,90,1
2017,9,3,6,14,삼성,두산,1:7,잠실,서울,두산,27,0,1,47,1
2019,8,31,5,18,삼성,두산,3:5,잠실,서울,두산,27,0,2,50,1
2019,8,30,4,18,두산,KT,3:1,수원,수원,두산,24,0,4,66,1
2019,8,28,2,18,SK,두산,2:4,잠실,서울,두산,28,0,3,56,1
2019,8,27,1,18,SK,두산,2:4,잠실,서울,두산,28,0,1,52,1
2019,8,25,6,17,두산,한화,3:2,대전,대전,두산,29,0,0,54,1
2019,8,24,5,18,두산,한화,13:3,대전,대전,두산,26,0,1,68,1
2019,8,23,4,18,두산,삼성,8:4,대구,대구,두산,29,0,2,51,1
2019,8,22,3,18,두산,삼성,13:1,대구,대구,두산,29,0,2,70,1
2019,8,18,6,17,롯데,두산,3:11,잠실,서울,두산,29,0,2,49,1
2019,8,17,5,18,롯데,두산,2:9,잠실,서울,두산,28,0,2,48,1
2019,8,16,4,18,LG,두산,4:7,잠실,서울,두산,28,0,3,61,1
2019,8,13,1,18,두산,KIA,5:2,광주,광주,두산,31,0,3,70,1
2019,8,11,6,17,두산,키움,12:7,고척,서울,두산,34,0,2,39,1
2019,8,9,4,18,KT,두산,1:3,잠실,서울,두산,33,0,2,58,1
2019,8,8,3,18,KT,두산,2:7,잠실,서울,두산,30,0,2,65,1
2019,8,6,1,18,한화,두산,3:8,잠실,서울,두산,34,0,2,43,1
2019,8,1,3,18,두산,NC,3:2,창원,창원,두산,30,0,1,66,1
2018,8,16,3,18,키움,두산,2:8,잠실,서울,두산,32,0,2,40,1
