YEAR,MONTH,DAY,WEEKDAY,HOUR,TEAM1,TEAM2,STADIUM,LOCATION,WINNER
2019,09,30,0,18,SK,한화,대전,대전,SK
2019,09,30,0,18,롯데,LG,잠실,서울,LG
2019,09,29,6,14,키움,롯데,사직,부산,키움
2019,09,29,6,14,삼성,KT,수원,수원,KT
2019,09,29,6,14,SK,한화,대전,대전,SK
2019,09,29,6,14,두산,LG,잠실,서울,두산
2019,09,28,5,17,SK,삼성,대구,대구,삼성
2019,09,28,5,17,NC,KT,수원,수원,KT
2019,09,28,5,17,LG,KIA,광주,광주,KIA
2019,09,28,5,17,한화,두산,잠실,서울,두산
2019,09,27,4,18,SK,삼성,대구,대구,SK
2019,09,27,4,18,NC,LG,잠실,서울,NC
2019,09,26,3,18,두산,삼성,대구,대구,두산
2019,09,26,3,18,LG,KT,수원,수원,LG
2019,09,26,3,18,KIA,롯데,사직,부산,KIA
2019,09,26,3,18,한화,NC,창원,창원,한화
2019,09,25,2,18,삼성,SK,문학,인천,SK
2019,09,25,2,18,두산,롯데,사직,부산,두산
2019,09,25,2,18,한화,NC,창원,창원,한화
2019,09,24,1,18,키움,KIA,광주,광주,KIA
2019,09,24,1,18,삼성,LG,잠실,서울,삼성
2019,09,24,1,18,SK,KT,수원,수원,KT
2019,09,24,1,18,두산,NC,창원,창원,0
2019,09,23,0,18,NC,롯데,사직,부산,NC
2019,09,23,0,18,KIA,KT,수원,수원,KT
2019,09,23,0,18,한화,LG,잠실,서울,한화
2019,09,22,6,14,LG,두산,잠실,서울,LG
2019,09,21,5,17,삼성,KT,수원,수원,삼성
2019,09,21,5,17,KIA,두산,잠실,서울,두산
2019,09,20,4,18,키움,SK,문학,인천,키움
2019,09,20,4,18,삼성,한화,대전,대전,한화
2019,09,20,4,18,KT,롯데,사직,부산,KT
2019,09,20,4,18,KIA,두산,잠실,서울,두산
2019,09,19,3,18,두산,SK,문학,인천,두산
2019,09,19,3,18,LG,NC,창원,창원,NC
2019,09,19,3,18,KIA,삼성,대구,대구,삼성
2019,09,19,3,15,두산,SK,문학,인천,두산
2019,09,18,2,18,NC,SK,문학,인천,NC
2019,09,18,2,18,롯데,KIA,광주,광주,KIA
2019,09,18,2,18,LG,삼성,포항,포항,LG
2019,09,17,1,18,키움,한화,대전,대전,한화
2019,09,17,1,18,NC,KIA,광주,광주,KIA
2019,09,16,0,18,키움,두산,잠실,서울,키움
2019,09,16,0,18,LG,KT,수원,수원,LG
2019,09,16,0,18,한화,삼성,대구,대구,한화
2019,09,15,6,14,삼성,NC,창원,창원,NC
2019,09,15,6,14,두산,LG,잠실,서울,LG
2019,09,15,6,14,롯데,한화,대전,대전,롯데
2019,09,15,6,14,KT,SK,문학,인천,KT
2019,09,14,5,17,키움,KT,수원,수원,KT
2019,09,14,5,17,삼성,NC,창원,창원,NC
2019,09,14,5,17,두산,SK,문학,인천,SK
2019,09,14,5,17,롯데,한화,대전,대전,한화
2019,09,14,5,17,KIA,LG,잠실,서울,LG
2019,09,13,4,14,SK,롯데,사직,부산,롯데
2019,09,13,4,14,NC,KT,수원,수원,NC
2019,09,13,4,14,LG,키움,고척,서울,LG
2019,09,13,4,14,KIA,두산,잠실,서울,두산
2019,09,13,4,14,한화,삼성,대구,대구,한화
2019,09,12,3,17,SK,롯데,사직,부산,SK
2019,09,12,3,17,NC,KT,수원,수원,NC
2019,09,12,3,17,LG,키움,고척,서울,키움
2019,09,12,3,17,KIA,두산,잠실,서울,두산
2019,09,11,2,18,키움,SK,문학,인천,키움
2019,09,11,2,18,NC,두산,잠실,서울,NC
2019,09,11,2,18,LG,한화,청주,청주,한화
2019,09,11,2,18,KT,삼성,대구,대구,삼성
2019,09,11,2,18,KIA,롯데,사직,부산,KIA
2019,09,10,1,18,LG,한화,청주,청주,LG
2019,09,10,1,18,KT,삼성,대구,대구,삼성
2019,09,10,1,18,KIA,롯데,사직,부산,롯데
2019,09,8,6,14,키움,KIA,광주,광주,키움
2019,09,8,6,14,SK,KT,수원,수원,KT
2019,09,8,6,14,두산,LG,잠실,서울,LG
2019,09,8,6,14,NC,삼성,대구,대구,삼성
2019,09,8,6,14,롯데,한화,대전,대전,롯데
2019,09,7,5,17,키움,KIA,광주,광주,키움
2019,09,7,5,17,NC,삼성,대구,대구,NC
2019,09,7,5,17,롯데,한화,대전,대전,한화
2019,09,6,4,19,한화,NC,창원,창원,NC
2019,09,6,4,18,삼성,키움,고척,서울,키움
2019,09,6,4,18,롯데,LG,잠실,서울,LG
2019,09,6,4,18,KIA,KT,수원,수원,KT
2019,09,5,3,18,삼성,키움,고척,서울,삼성
2019,09,5,3,18,한화,NC,창원,창원,한화
2019,09,4,2,18,삼성,롯데,사직,부산,삼성
2019,09,4,2,18,KIA,한화,대전,대전,KIA
2019,09,3,1,18,키움,두산,잠실,서울,키움
2019,09,3,1,18,삼성,롯데,사직,부산,삼성
2019,09,3,1,18,NC,SK,문학,인천,SK
2019,09,3,1,18,LG,KT,수원,수원,LG
2019,09,3,1,18,KIA,한화,대전,대전,KIA
2019,09,1,6,14,키움,NC,창원,창원,NC
2019,09,1,6,14,삼성,두산,잠실,서울,두산
2019,09,1,6,14,롯데,KIA,광주,광주,KIA
2019,09,1,6,14,LG,SK,문학,인천,SK
