YEAR,MONTH,DAY,WEEKDAY,HOUR,TEAM1,TEAM2,STADIUM,LOCATION,WINNER,TEMPERATURE,RAINFALL,WINDSPEED,HUMLDITY
2019,9,30,0,18,SK,한화,대전,대전,SK,25,0,0,65
2019,9,30,0,18,롯데,LG,잠실,서울,LG,26,0,2,52
2019,9,29,6,14,키움,롯데,사직,부산,키움,27,0,3,79
2019,9,29,6,14,삼성,KT,수원,수원,KT,27,0,3,37
2019,9,29,6,14,SK,한화,대전,대전,SK,28,0,2,50
2019,9,29,6,14,두산,LG,잠실,서울,두산,27,0,3,31
2019,9,28,5,17,SK,삼성,대구,대구,삼성,26,0,2,74
2019,9,28,5,17,NC,KT,수원,수원,KT,26,0,2,64
2019,9,28,5,17,LG,KIA,광주,광주,KIA,28,0,0,67
2019,9,28,5,17,한화,두산,잠실,서울,두산,28,0,2,41
2019,9,27,4,18,SK,삼성,대구,대구,SK,24,0,3,74
2019,9,27,4,18,NC,LG,잠실,서울,NC,24,0,1,51
2019,9,26,3,18,두산,삼성,대구,대구,두산,23,0,3,65
2019,9,26,3,18,LG,KT,수원,수원,LG,24,0,2,64
2019,9,26,3,18,KIA,롯데,사직,부산,KIA,23,0,3,69
2019,9,26,3,18,한화,NC,창원,창원,한화,23,0,0,64
2019,9,25,2,18,삼성,SK,문학,인천,SK,21,0,2,71
2019,9,25,2,18,두산,롯데,사직,부산,두산,21,0,3,65
2019,9,25,2,18,한화,NC,창원,창원,한화,21,0,0,68
2019,9,24,1,18,키움,KIA,광주,광주,KIA,22,0,1,56
2019,9,24,1,18,삼성,LG,잠실,서울,삼성,23,0,2,42
2019,9,24,1,18,SK,KT,수원,수원,KT,22,0,2,46
2019,9,24,1,18,두산,NC,창원,창원,0,20,0,0,68
2019,9,23,0,18,NC,롯데,사직,부산,NC,17,0,2,98
2019,9,23,0,18,KIA,KT,수원,수원,KT,21,0,2,61
2019,9,23,0,18,한화,LG,잠실,서울,한화,23,0,2,43
2019,9,22,6,14,LG,두산,잠실,서울,LG,19,0,5,64
2019,9,21,5,17,삼성,KT,수원,수원,삼성,19,0,2,87
2019,9,21,5,17,KIA,두산,잠실,서울,두산,20,0,2,65
2019,9,20,4,18,키움,SK,문학,인천,키움,22,0,4,44
2019,9,20,4,18,삼성,한화,대전,대전,한화,21,0,3,68
2019,9,20,4,18,KT,롯데,사직,부산,KT,22,0,5,61
2019,9,20,4,18,KIA,두산,잠실,서울,두산,21,0,2,50
2019,9,19,3,18,두산,SK,문학,인천,두산,22,0,4,36
2019,9,19,3,18,LG,NC,창원,창원,NC,21,0,1,62
