YEAR,MONTH,DAY,WEEKDAY,HOUR,TEAM1,TEAM2,SCORE1,SCORE2,STADIUM,LOCATION,WINNER,TEMPERATURE,RAINFALL,WINDSPEED,HUMLDITY
2020,5,31,6,14,NC,삼성,18,7,대구,대구,NC,27,0,2,38
2020,5,31,6,14,롯데,두산,8,3,잠실,서울,롯데,27,0,2,45
2020,5,31,6,14,KT,키움,12,8,고척,서울,KT,27,0,2,45
2020,5,31,6,14,LG,KIA,13,5,광주,광주,LG,22,0,4,68
2020,5,31,6,14,한화,SK,4,6,문학,인천,SK,22,0,4,49
2020,5,30,5,17,NC,삼성,1,9,대구,대구,삼성,26,0,2,39
2020,5,30,5,17,롯데,두산,4,5,잠실,서울,두산,28,0,2,41
2020,5,30,5,17,KT,키움,3,14,고척,서울,키움,28,0,2,41
2020,5,30,5,17,한화,SK,3,9,문학,인천,SK,25,0,2,46
2020,5,30,5,14,LG,KIA,6,10,광주,광주,KIA,24,0,2,41
2020,5,29,4,18,NC,삼성,4,5,대구,대구,삼성,25,0,4,38
2020,5,29,4,18,롯데,두산,2,4,잠실,서울,두산,25,0,3,49
2020,5,29,4,18,KT,키움,1,5,고척,서울,키움,25,0,3,49
2020,5,29,4,18,LG,KIA,6,2,광주,광주,LG,26,0,1,35
2020,5,29,4,18,한화,SK,6,8,문학,인천,SK,22,0,2,61
2020,5,28,3,18,키움,NC,6,9,창원,창원,NC,22,0,2,41
2020,5,28,3,18,삼성,롯데,3,1,사직,부산,삼성,21,0,4,56
2020,5,28,3,18,SK,두산,6,1,잠실,서울,SK,22,0,2,46
2020,5,28,3,18,LG,한화,3,0,대전,대전,LG,23,0,1,50
2020,5,28,3,18,KIA,KT,5,6,수원,수원,KT,21,0,3,58
2020,5,27,2,18,키움,NC,3,10,창원,창원,NC,19,0,2,54
2020,5,27,2,18,삼성,롯데,11,1,사직,부산,삼성,19,0,3,55
2020,5,27,2,18,SK,두산,2,4,잠실,서울,두산,21,0,4,48
2020,5,27,2,18,LG,한화,15,4,대전,대전,LG,24,0,1,34
2020,5,27,2,18,KIA,KT,0,5,수원,수원,KT,19,0,3,65
2020,5,26,1,18,키움,NC,2,7,창원,창원,NC,21,0,1,64
2020,5,26,1,18,삼성,롯데,0,1,사직,부산,롯데,18,0,5,80
2020,5,26,1,18,SK,두산,4,6,잠실,서울,두산,16,0,3,80
2020,5,26,1,18,LG,한화,3,0,대전,대전,LG,22,0,1,54
2020,5,26,1,18,KIA,KT,4,1,수원,수원,KIA,15,0,2,84
2020,5,24,6,14,키움,롯데,0,2,사직,부산,롯데,21,0,3,69
2020,5,24,6,14,두산,삼성,0,13,대구,대구,삼성,24,0,3,58
2020,5,24,6,14,KT,LG,7,9,잠실,서울,LG,19,0,2,76
2020,5,24,6,14,KIA,SK,3,4,문학,인천,SK,16,0,4,82
2020,5,24,6,14,한화,NC,5,10,창원,창원,NC,24,0,4,55
2020,5,23,5,17,키움,롯데,12,4,사직,부산,키움,20,0,1,69
2020,5,23,5,17,두산,삼성,10,6,대구,대구,두산,27,0,0,38
2020,5,23,5,17,KIA,SK,8,3,문학,인천,KIA,19,0,3,66
2020,5,23,5,17,한화,NC,0,3,창원,창원,NC,19,0,3,63
2020,5,23,5,14,KT,LG,6,2,잠실,서울,KT,24,0,3,47
2020,5,22,4,18,키움,롯데,7,9,사직,부산,롯데,17,0,1,69
2020,5,22,4,18,두산,삼성,12,7,대구,대구,두산,21,0,4,55
