LOCATION,TEMPERATURE,RAINFALL,WINDSPEED,HUMLDITY,YEAR,MONTH,DAY,HOUR
서울,11,0,4,44,2020,4,1,1
서울,11,0,3,42,2020,4,1,2
서울,11,0,2,36,2020,4,1,3
서울,10,0,3,39,2020,4,1,4
서울,10,0,3,40,2020,4,1,5
서울,9,0,3,38,2020,4,1,6
서울,9,0,3,34,2020,4,1,7
서울,9,0,4,33,2020,4,1,8
서울,10,0,3,31,2020,4,1,9
서울,11,0,4,29,2020,4,1,10
서울,13,0,4,28,2020,4,1,11
서울,15,0,3,26,2020,4,1,12
서울,16,0,3,28,2020,4,1,13
서울,17,0,4,25,2020,4,1,14
서울,16,0,4,24,2020,4,1,15
서울,15,0,6,21,2020,4,1,16
서울,14,0,4,19,2020,4,1,17
서울,13,0,4,18,2020,4,1,18
서울,12,0,2,18,2020,4,1,19
서울,9,0,4,47,2020,4,1,20
서울,8,0,5,54,2020,4,1,21
서울,7,0,3,54,2020,4,1,22
서울,6,0,1,55,2020,4,1,23
서울,6,0,1,58,2020,4,2,0
서울,5,0,1,58,2020,4,2,1
서울,5,0,1,58,2020,4,2,2
서울,5,0,0,61,2020,4,2,3
서울,4,0,0,60,2020,4,2,4
서울,4,0,1,65,2020,4,2,5
서울,3,0,1,68,2020,4,2,6
서울,3,0,1,67,2020,4,2,7
서울,5,0,1,56,2020,4,2,8
서울,8,0,0,49,2020,4,2,9
서울,10,0,0,41,2020,4,2,10
서울,12,0,2,33,2020,4,2,11
서울,14,0,3,24,2020,4,2,12
서울,15,0,4,27,2020,4,2,13
서울,15,0,2,25,2020,4,2,14
서울,14,0,4,19,2020,4,2,15
서울,14,0,4,27,2020,4,2,16
서울,13,0,4,18,2020,4,2,17
서울,12,0,3,18,2020,4,2,18
서울,11,0,3,26,2020,4,2,19
서울,10,0,4,34,2020,4,2,20
서울,9,0,3,36,2020,4,2,21
서울,8,0,2,44,2020,4,2,22
서울,8,0,1,52,2020,4,2,23
서울,7,0,1,56,2020,4,3,0
서울,6,0,0,58,2020,4,3,1
서울,6,0,0,61,2020,4,3,2
서울,5,0,0,65,2020,4,3,3
서울,6,0,1,79,2020,4,3,4
서울,5,0,0,80,2020,4,3,5
서울,6,0,1,82,2020,4,3,6
서울,6,0,1,79,2020,4,3,7
서울,6,0,2,72,2020,4,3,8
서울,8,0,1,63,2020,4,3,9
서울,10,0,1,53,2020,4,3,10
서울,12,0,2,50,2020,4,3,11
서울,13,0,3,40,2020,4,3,12
서울,15,0,3,32,2020,4,3,13
서울,15,0,3,25,2020,4,3,14
서울,16,0,4,25,2020,4,3,15
서울,15,0,4,28,2020,4,3,16
서울,14,0,4,25,2020,4,3,17
서울,12,0,4,36,2020,4,3,18
서울,11,0,4,44,2020,4,3,19
서울,10,0,3,47,2020,4,3,20
서울,9,0,2,49,2020,4,3,21
서울,8,0,2,59,2020,4,3,22
서울,8,0,3,64,2020,4,3,23
서울,7,0,2,70,2020,4,4,0
서울,7,0,2,74,2020,4,4,1
서울,7,0,2,77,2020,4,4,2
서울,7,0,2,80,2020,4,4,3
서울,7,0,2,80,2020,4,4,4
서울,7,0,2,80,2020,4,4,5
서울,6,0,2,84,2020,4,4,6
서울,7,0,1,83,2020,4,4,7
서울,7,0,1,80,2020,4,4,8
서울,8,0,3,53,2020,4,4,9
서울,9,0,4,27,2020,4,4,10
서울,10,0,3,21,2020,4,4,11
서울,11,0,5,16,2020,4,4,12
서울,12,0,5,15,2020,4,4,13
서울,12,0,5,14,2020,4,4,14
서울,13,0,4,13,2020,4,4,15
서울,12,0,6,12,2020,4,4,16
서울,11,0,5,11,2020,4,4,17
서울,10,0,5,12,2020,4,4,18
서울,9,0,2,13,2020,4,4,19
서울,8,0,2,13,2020,4,4,20
서울,7,0,3,13,2020,4,4,21
서울,6,0,2,16,2020,4,4,22
서울,6,0,2,19,2020,4,4,23
서울,5,0,0,20,2020,4,5,0
서울,4,0,1,23,2020,4,5,1
서울,4,0,2,23,2020,4,5,2
서울,3,0,1,22,2020,4,5,3
서울,3,0,2,21,2020,4,5,4
서울,2,0,4,22,2020,4,5,5
서울,2,0,1,24,2020,4,5,6
서울,1,0,2,25,2020,4,5,7
서울,3,0,3,19,2020,4,5,8
서울,4,0,3,17,2020,4,5,9
서울,6,0,4,15,2020,4,5,10
서울,8,0,2,14,2020,4,5,11
서울,9,0,3,14,2020,4,5,12
서울,10,0,4,14,2020,4,5,13
서울,12,0,3,13,2020,4,5,14
서울,12,0,3,14,2020,4,5,15
서울,13,0,3,16,2020,4,5,16
서울,11,0,4,29,2020,4,5,17
서울,11,0,2,27,2020,4,5,18
서울,9,0,3,38,2020,4,5,19
서울,8,0,3,48,2020,4,5,20
서울,7,0,1,57,2020,4,5,21
서울,6,0,0,60,2020,4,5,22
서울,6,0,2,63,2020,4,5,23
서울,5,0,0,61,2020,4,6,0
서울,5,0,1,60,2020,4,6,1
서울,5,0,1,54,2020,4,6,2
서울,4,0,1,49,2020,4,6,3
서울,4,0,1,52,2020,4,6,4
서울,3,0,0,48,2020,4,6,5
서울,3,0,0,50,2020,4,6,6
서울,3,0,1,52,2020,4,6,7
서울,4,0,1,56,2020,4,6,8
서울,7,0,1,47,2020,4,6,9
서울,10,0,1,37,2020,4,6,10
서울,12,0,2,28,2020,4,6,11
서울,14,0,3,25,2020,4,6,12
서울,15,0,2,22,2020,4,6,13
서울,15,0,3,23,2020,4,6,14
서울,15,0,4,21,2020,4,6,15
서울,14,0,3,22,2020,4,6,16
서울,13,0,4,23,2020,4,6,17
서울,11,0,4,23,2020,4,6,18
서울,10,0,5,27,2020,4,6,19
서울,9,0,3,32,2020,4,6,20
서울,9,0,2,35,2020,4,6,21
서울,9,0,2,39,2020,4,6,22
서울,8,0,3,45,2020,4,6,23
서울,8,0,2,56,2020,4,7,0
서울,7,0,1,65,2020,4,7,1
서울,7,0,1,70,2020,4,7,2
서울,6,0,0,75,2020,4,7,3
서울,6,0,0,77,2020,4,7,4
서울,6,0,0,79,2020,4,7,5
서울,7,0,2,80,2020,4,7,6
서울,7,0,1,79,2020,4,7,7
서울,7,0,2,77,2020,4,7,8
서울,8,0,1,74,2020,4,7,9
서울,10,0,2,65,2020,4,7,10
서울,12,0,2,56,2020,4,7,11
서울,14,0,2,48,2020,4,7,12
서울,16,0,2,43,2020,4,7,13
서울,16,0,3,41,2020,4,7,14
서울,16,0,3,43,2020,4,7,15
서울,16,0,3,38,2020,4,7,16
서울,15,0,4,40,2020,4,7,17
서울,13,0,4,46,2020,4,7,18
서울,11,0,3,59,2020,4,7,19
서울,10,0,3,55,2020,4,7,20
서울,9,0,2,54,2020,4,7,21
서울,9,0,2,51,2020,4,7,22
서울,8,0,2,47,2020,4,7,23
서울,8,0,2,33,2020,4,8,0
서울,7,0,2,31,2020,4,8,1
서울,7,0,2,34,2020,4,8,2
