LOCATION,TEMPERATURE,RAINFALL,WINDSPEED,HUMLDITY,YEAR,MONTH,DAY,HOUR
서울,1,0,0,44,2019,4,1,1
서울,1,0,0,50,2019,4,1,2
서울,0,0,0,53,2019,4,1,3
서울,0,0,0,55,2019,4,1,4
서울,0,0,1,58,2019,4,1,5
서울,0,0,0,65,2019,4,1,6
서울,0,0,1,65,2019,4,1,7
서울,2,0,2,60,2019,4,1,8
서울,4,0,3,43,2019,4,1,9
서울,6,0,4,25,2019,4,1,10
서울,7,0,4,21,2019,4,1,11
서울,9,0,2,16,2019,4,1,12
서울,9,0,5,17,2019,4,1,13
서울,10,0,4,20,2019,4,1,14
서울,11,0,2,20,2019,4,1,15
서울,10,0,3,22,2019,4,1,16
서울,9,0,4,28,2019,4,1,17
서울,8,0,3,32,2019,4,1,18
서울,7,0,3,31,2019,4,1,19
서울,6,0,2,36,2019,4,1,20
서울,5,0,2,35,2019,4,1,21
서울,5,0,2,46,2019,4,1,22
서울,4,0,1,52,2019,4,1,23
서울,3,0,1,54,2019,4,2,0
서울,3,0,2,52,2019,4,2,1
서울,3,0,2,51,2019,4,2,2
서울,2,0,1,49,2019,4,2,3
서울,2,0,1,47,2019,4,2,4
서울,1,0,1,49,2019,4,2,5
서울,1,0,0,54,2019,4,2,6
서울,1,0,0,61,2019,4,2,7
서울,2,0,0,55,2019,4,2,8
서울,5,0,2,45,2019,4,2,9
서울,7,0,1,31,2019,4,2,10
서울,9,0,2,26,2019,4,2,11
서울,10,0,2,23,2019,4,2,12
서울,10,0,3,20,2019,4,2,13
서울,11,0,4,19,2019,4,2,14
서울,12,0,2,18,2019,4,2,15
서울,12,0,3,18,2019,4,2,16
서울,11,0,4,24,2019,4,2,17
서울,9,0,3,22,2019,4,2,18
서울,8,0,2,28,2019,4,2,19
서울,7,0,2,33,2019,4,2,20
서울,6,0,2,46,2019,4,2,21
서울,5,0,1,38,2019,4,2,22
서울,5,0,1,34,2019,4,2,23
서울,5,0,1,38,2019,4,3,0
서울,4,0,1,40,2019,4,3,1
서울,4,0,2,49,2019,4,3,2
서울,3,0,0,56,2019,4,3,3
서울,3,0,0,58,2019,4,3,4
서울,2,0,0,64,2019,4,3,5
서울,2,0,1,51,2019,4,3,6
서울,2,0,0,50,2019,4,3,7
서울,3,0,1,41,2019,4,3,8
서울,6,0,0,42,2019,4,3,9
서울,9,0,1,30,2019,4,3,10
서울,11,0,1,32,2019,4,3,11
서울,12,0,1,25,2019,4,3,12
서울,12,0,3,22,2019,4,3,13
서울,13,0,3,24,2019,4,3,14
서울,13,0,3,19,2019,4,3,15
서울,12,0,4,16,2019,4,3,16
서울,12,0,3,20,2019,4,3,17
서울,10,0,3,25,2019,4,3,18
서울,8,0,4,28,2019,4,3,19
서울,7,0,3,29,2019,4,3,20
서울,6,0,2,32,2019,4,3,21
서울,6,0,2,33,2019,4,3,22
서울,5,0,2,36,2019,4,3,23
서울,5,0,2,39,2019,4,4,0
서울,5,0,2,44,2019,4,4,1
서울,4,0,1,51,2019,4,4,2
서울,4,0,0,59,2019,4,4,3
서울,3,0,0,64,2019,4,4,4
서울,3,0,0,67,2019,4,4,5
서울,3,0,0,69,2019,4,4,6
서울,3,0,1,71,2019,4,4,7
서울,4,0,0,61,2019,4,4,8
서울,7,0,1,54,2019,4,4,9
서울,9,0,2,49,2019,4,4,10
서울,11,0,2,39,2019,4,4,11
서울,13,0,4,33,2019,4,4,12
서울,14,0,3,30,2019,4,4,13
서울,15,0,3,25,2019,4,4,14
서울,15,0,3,23,2019,4,4,15
서울,14,0,4,22,2019,4,4,16
서울,14,0,4,23,2019,4,4,17
서울,12,0,4,26,2019,4,4,18
서울,11,0,2,28,2019,4,4,19
서울,10,0,2,34,2019,4,4,20
서울,9,0,2,32,2019,4,4,21
서울,9,0,2,36,2019,4,4,22
서울,8,0,3,48,2019,4,4,23
서울,7,0,3,48,2019,4,5,0
서울,7,0,3,56,2019,4,5,1
서울,7,0,3,65,2019,4,5,2
서울,7,0,2,69,2019,4,5,3
서울,7,0,1,72,2019,4,5,4
서울,7,0,2,73,2019,4,5,5
서울,8,0,2,78,2019,4,5,6
서울,8,0,2,84,2019,4,5,7
서울,8,0,1,85,2019,4,5,8
서울,9,0,1,77,2019,4,5,9
서울,11,0,3,66,2019,4,5,10
서울,13,0,2,40,2019,4,5,11
서울,14,0,3,27,2019,4,5,12
서울,16,0,4,19,2019,4,5,13
서울,16,0,3,24,2019,4,5,14
서울,17,0,3,19,2019,4,5,15
서울,16,0,3,16,2019,4,5,16
서울,15,0,4,16,2019,4,5,17
서울,15,0,2,15,2019,4,5,18
서울,13,0,3,21,2019,4,5,19
